sample_id,embryo_id,t,min,p1,p50,p99,p99_8,max,mean
44b6_0c582fdc,44b6,0,31,72.0,475.0,1541.0,1775.0,2477,546.5909223556519
44b6_0c582fdc,44b6,24,43,103.0,503.0,1848.0,2125.0,2883,621.3346083164215
44b6_0c582fdc,44b6,49,51,110.0,479.0,2197.0,2569.0,4011,658.2176678180695
44b6_0c582fdc,44b6,74,46,88.0,309.0,2001.0,2392.0,3244,469.4109363555908
44b6_0c582fdc,44b6,99,35,82.0,267.0,1575.0,2108.0,3592,383.11850810050964
44b6_d754aa59,44b6,0,3,20.0,50.0,376.0,567.0,990,73.03817963600159
44b6_d754aa59,44b6,24,6,21.0,49.0,376.0,603.0,1297,71.32802867889404
44b6_d754aa59,44b6,49,4,20.0,52.0,429.0,665.0,1048,75.73969912528992
44b6_d754aa59,44b6,74,3,17.0,57.0,488.0,700.0,1549,87.258220911026
44b6_d754aa59,44b6,99,0,14.0,57.0,563.0,756.0,1453,97.42314004898071
44b6_aaf8b0ea,44b6,0,15,47.0,268.0,1875.0,2813.0,3379,460.8837368488312
44b6_aaf8b0ea,44b6,24,19,47.0,239.0,1562.0,2389.0,3325,421.3432307243347
44b6_aaf8b0ea,44b6,49,20,48.0,237.0,1433.0,1737.0,2990,408.9889190196991
44b6_aaf8b0ea,44b6,74,15,49.0,225.0,1432.0,1724.0,2425,379.03757405281067
44b6_aaf8b0ea,44b6,99,15,47.0,193.0,1470.0,1798.0,2459,333.54169273376465
44b6_2a2eff9f,44b6,0,7,42.0,516.0,1152.0,1306.0,1721,505.83383417129517
44b6_2a2eff9f,44b6,24,6,38.0,530.0,1174.0,1359.0,1893,503.8422009944916
44b6_2a2eff9f,44b6,49,10,37.0,580.0,1313.0,1538.0,2158,544.5596623420715
44b6_2a2eff9f,44b6,74,10,43.0,677.0,1555.0,1811.0,2435,639.0598382949829
44b6_2a2eff9f,44b6,99,11,46.0,712.0,1570.0,1853.0,2437,666.7404448986053
44b6_7e557709,44b6,0,14,47.0,401.0,1579.0,1919.0,3139,443.03380727767944
44b6_7e557709,44b6,24,15,43.0,419.0,1525.0,1838.0,2891,443.7619717121124
44b6_7e557709,44b6,49,20,48.0,488.0,1646.0,1999.0,2951,507.5575439929962
44b6_7e557709,44b6,74,20,51.0,538.0,1675.0,2041.0,3780,553.6127688884735
44b6_7e557709,44b6,99,20,53.0,567.0,1690.0,2062.0,3352,590.4357385635376
44b6_8f5ab931,44b6,0,15,47.0,413.0,2234.0,2627.0,3623,627.0678539276123
44b6_8f5ab931,44b6,24,18,55.0,352.0,2283.0,2688.0,4037,592.1957094669342
44b6_8f5ab931,44b6,49,16,51.0,287.0,2329.0,2815.0,3949,522.3604798316956
44b6_8f5ab931,44b6,74,14,50.0,287.0,2304.0,2833.0,3898,508.1074903011322
44b6_8f5ab931,44b6,99,16,49.0,318.0,2430.0,3057.0,4290,541.194251537323
44b6_18ced818,44b6,0,21,60.0,892.0,2120.0,2398.0,3155,865.8987185955048
44b6_18ced818,44b6,24,36,90.0,1034.0,2259.0,2588.0,4168,1014.7676298618317
44b6_18ced818,44b6,49,46,98.0,1121.0,2298.0,2624.0,3740,1096.3605794906616
44b6_18ced818,44b6,74,38,92.0,1154.0,2291.0,2609.0,3568,1127.078185558319
44b6_18ced818,44b6,99,43,98.0,1205.0,2351.0,2666.0,3929,1182.361144065857
44b6_e31261b4,44b6,0,24,79.0,613.0,1419.0,1668.0,2646,614.2207450866699
44b6_e31261b4,44b6,24,38,106.0,654.0,1497.0,1770.0,2596,661.8322768211365
44b6_e31261b4,44b6,49,46,104.0,615.0,1472.0,1759.0,2704,622.4426794052124
44b6_e31261b4,44b6,74,40,93.0,595.0,1338.0,1604.0,2582,595.3420457839966
44b6_e31261b4,44b6,99,39,105.0,668.0,1458.0,1726.0,2580,668.5285069942474
44b6_e28840c6,44b6,0,56,155.0,769.0,1729.0,2008.0,2742,802.0724956989288
44b6_e28840c6,44b6,24,45,134.0,743.0,1742.0,2037.0,3293,774.7455892562866
44b6_e28840c6,44b6,49,38,111.0,718.0,1733.0,2040.0,3058,741.3803136348724
44b6_e28840c6,44b6,74,33,95.0,675.0,1666.0,1969.0,3169,696.739488363266
44b6_e28840c6,44b6,99,30,76.0,615.0,1600.0,1955.0,3305,634.3146870136261
44b6_8f9ecab4,44b6,0,34,94.0,715.0,1894.0,2201.0,3332,749.4085874557495
44b6_8f9ecab4,44b6,24,29,101.0,775.0,1947.0,2216.0,3176,805.9823179244995
44b6_8f9ecab4,44b6,49,34,102.0,776.0,1762.0,1995.0,3078,785.4483501911163
44b6_8f9ecab4,44b6,74,36,116.0,818.0,1786.0,2038.0,3167,834.6821434497833
44b6_8f9ecab4,44b6,99,47,134.0,794.0,1760.0,2061.0,3209,825.7594132423401
6bba_3db54e20,6bba,0,5,20.0,56.0,403.0,588.0,980,72.5755295753479
6bba_3db54e20,6bba,24,6,23.0,66.0,464.0,738.0,1298,84.18629908561707
6bba_3db54e20,6bba,49,17,42.0,154.0,1196.0,1424.0,2105,288.2200536727905
6bba_3db54e20,6bba,74,51,114.0,860.0,1856.0,2060.0,2556,824.8710477352142
6bba_3db54e20,6bba,99,48,110.0,770.0,1843.0,2018.0,2580,824.894549369812
6bba_c328f2fd,6bba,0,20,51.0,237.0,1182.0,1404.0,2097,331.98332691192627
6bba_c328f2fd,6bba,24,24,49.0,202.0,1118.0,1332.0,1802,302.59982204437256
6bba_c328f2fd,6bba,49,20,48.0,216.0,1040.0,1289.0,1741,287.2697193622589
6bba_c328f2fd,6bba,74,18,49.0,203.0,826.0,1146.0,1860,261.6714737415314
6bba_c328f2fd,6bba,99,19,45.0,155.0,691.0,869.0,1349,212.4863474369049
6bba_b204cac7,6bba,0,9,33.0,85.0,621.0,1039.0,1696,106.50371980667114
6bba_b204cac7,6bba,24,9,33.0,83.0,654.0,1058.0,2351,107.2024519443512
6bba_b204cac7,6bba,49,12,31.0,69.0,610.0,1009.0,1705,98.78586602210999
6bba_b204cac7,6bba,74,9,28.0,54.0,570.0,964.0,2603,88.01049423217773
6bba_b204cac7,6bba,99,7,27.0,48.0,516.0,880.3939999998547,1676,75.44545459747314
6bba_6321a359,6bba,0,3,16.0,35.0,342.0,529.0,999,54.01566791534424
6bba_6321a359,6bba,24,8,22.0,46.0,350.0,515.0,1003,63.05201506614685
6bba_6321a359,6bba,49,8,29.0,55.0,388.0,554.0,911,72.6367015838623
6bba_6321a359,6bba,74,17,36.0,65.0,441.0,615.0,1020,84.7797520160675
6bba_6321a359,6bba,99,12,36.0,72.0,432.0,583.0,1048,92.36501884460449
6bba_283bf9f1,6bba,0,13,31.0,186.0,839.0,966.0,1343,242.7348279953003
6bba_283bf9f1,6bba,24,12,34.0,212.0,771.0,911.0,1415,241.75249767303467
6bba_283bf9f1,6bba,49,13,32.0,162.0,747.0,897.0,1622,210.11000657081604
6bba_283bf9f1,6bba,74,9,28.0,129.0,672.0,800.0,1320,181.7622742652893
6bba_283bf9f1,6bba,99,8,23.0,88.0,532.0,673.0,1049,128.60431265830994
6bba_af149c94,6bba,0,14,32.0,77.0,481.0,618.0,1692,108.74167609214783
6bba_af149c94,6bba,24,12,33.0,92.0,515.0,649.0,1080,127.15540194511414
6bba_af149c94,6bba,49,12,33.0,96.0,542.0,675.0,1322,131.73810172080994
6bba_af149c94,6bba,74,12,35.0,113.0,547.0,665.0,1012,142.80784010887146
6bba_af149c94,6bba,99,14,37.0,115.0,556.0,738.0,1119,145.6112515926361
6bba_afb141ff,6bba,0,3,15.0,43.0,581.0,812.3939999998547,1354,85.66436171531677
6bba_afb141ff,6bba,24,1,10.0,30.0,370.0,657.0,1376,48.70010781288147
6bba_afb141ff,6bba,49,0,9.0,29.0,411.0,660.0,1397,47.439279079437256
6bba_afb141ff,6bba,74,1,9.0,29.0,419.0,694.0,1544,48.33314394950867
6bba_afb141ff,6bba,99,0,10.0,30.0,423.0,737.0,1617,49.42447853088379
6bba_df673a83,6bba,0,4,24.0,187.0,1011.0,1249.0,1905,270.76345324516296
6bba_df673a83,6bba,24,4,20.0,138.0,809.0,1025.0,1809,210.9162106513977
6bba_df673a83,6bba,49,2,19.0,120.0,765.0,938.0,2422,194.31526112556458
6bba_df673a83,6bba,74,3,16.0,104.0,749.0,944.0,1599,181.60812544822693
6bba_df673a83,6bba,99,0,13.0,83.0,730.0,929.0,1509,162.21450901031494
6bba_debd7bfa,6bba,0,11,30.0,161.0,602.0,727.0,1363,181.90324783325195
6bba_debd7bfa,6bba,24,9,26.0,120.0,566.0,694.0,985,149.28019285202026
6bba_debd7bfa,6bba,49,8,22.0,70.0,417.0,561.0,1068,94.33538913726807
6bba_debd7bfa,6bba,74,4,19.0,53.0,353.0,503.0,801,68.77594780921936
6bba_debd7bfa,6bba,99,3,19.0,56.0,386.0,550.0,845,74.14434814453125
6bba_48816121,6bba,0,24,53.0,331.0,1157.0,1415.0,3167,366.3168442249298
6bba_48816121,6bba,24,19,43.0,278.0,1033.0,1284.0,2098,317.906777381897
6bba_48816121,6bba,49,14,37.0,204.0,932.0,1155.0,1900,255.91216397285461
6bba_48816121,6bba,74,15,35.0,160.0,819.0,1021.0,1639,213.37412881851196
6bba_48816121,6bba,99,8,30.0,120.0,764.0,993.0,1640,175.25809383392334
6bba_cdcfe533,6bba,0,14,36.0,278.0,885.0,1077.0,1950,275.65138030052185
6bba_cdcfe533,6bba,24,22,41.0,246.0,883.0,1121.0,1947,247.7375500202179
6bba_cdcfe533,6bba,49,19,41.0,246.0,935.0,1184.0,1898,251.0867280960083
6bba_cdcfe533,6bba,74,18,41.0,270.0,975.0,1277.0,1960,272.2571585178375
6bba_cdcfe533,6bba,99,18,42.0,305.0,1058.0,1380.0,2127,304.69963550567627
6bba_57b7cc1e,6bba,0,432,666.0,1115.0,1622.0,1777.0,2782,1119.2060084342957
6bba_57b7cc1e,6bba,24,397,641.0,1082.0,1520.0,1658.0,2185,1081.6615943908691
6bba_57b7cc1e,6bba,49,373,611.0,1040.0,1499.0,1682.0,2227,1041.421993970871
6bba_57b7cc1e,6bba,74,246,514.0,962.0,1425.0,1611.0,2151,959.5243306159973
6bba_57b7cc1e,6bba,99,266,444.0,869.0,1398.0,1581.0,2230,873.1715381145477
6bba_bb9f20c3,6bba,0,16,36.0,154.0,874.0,1148.0,1959,206.29618883132935
6bba_bb9f20c3,6bba,24,15,35.0,156.0,922.0,1174.0,1902,222.94173669815063
6bba_bb9f20c3,6bba,49,13,34.0,122.0,864.0,1120.0,2613,192.8803358078003
6bba_bb9f20c3,6bba,74,15,35.0,101.0,809.0,1071.0,1835,168.48728346824646
6bba_bb9f20c3,6bba,99,13,36.0,98.0,788.0,1043.0,1636,162.53207206726074
6bba_09961292,6bba,0,18,42.0,114.0,989.0,1244.0,2252,236.08375310897827
6bba_09961292,6bba,24,18,41.0,101.0,910.0,1147.0,1892,200.65558671951294
6bba_09961292,6bba,49,17,42.0,100.0,859.0,1072.0,1891,191.72372317314148
6bba_09961292,6bba,74,21,41.0,101.0,899.0,1147.0,2321,195.29599618911743
6bba_09961292,6bba,99,17,41.0,105.0,914.0,1147.0,2155,199.75600218772888
